SEASON_LABEL,CLUTCH_WINDOW,GROUP_SET,PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK,TEAM_COUNT
1997-98,1m,Players,100091,Eva Nemcova,Eva,1611661315,CLE,25.0,1,0,1,0.0,1.0166666666666666,1,1,1.0,1,1,1.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,3,1,3.0,0,0,4.0,1,7,7,7,1,1,1,1,1,1,1,3,3,3,2,2,3,3,3,3,1,1,1,1,1,1,2,2,1,1,1
1997-98,1m,Players,100006,Haixia Zheng,Haixia,1611661320,LAS,31.0,1,1,0,1.0,0.9216666666666666,1,1,1.0,0,0,0.0,1,2,0.5,0,0,0,0,0,0,0,0,0,0,3,-1,3.0,0,0,3.0,1,1,1,1,10,1,1,1,2,2,2,1,1,1,2,2,3,3,3,3,1,1,1,1,1,7,2,2,1,2,1
1997-98,1m,Players,100007,Jamila Wideman,Jamila,1611661320,LAS,22.0,1,1,0,1.0,1.0166666666666666,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,-1,0.0,0,0,0.0,1,1,1,1,1,4,4,4,2,2,2,3,3,3,2,2,3,3,3,3,1,1,1,1,5,7,8,2,1,8,1
1997-98,1m,Players,100087,Janice Braxton,Janice,1611661315,CLE,36.0,1,0,1,0.0,1.0166666666666666,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,1,0,0,1,1.2,0,0,1.0,1,7,7,7,1,4,4,4,2,2,2,3,3,3,2,1,1,3,3,3,1,1,9,1,5,1,7,2,1,7,1
1997-98,1m,Players,100009,Katrina Colleton,Katrina,1611661320,LAS,27.0,1,1,0,1.0,1.0166666666666666,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,1,0,0,0,0,0,0,-1,-1.0,0,0,0.0,1,1,1,1,1,4,4,4,2,2,2,3,3,3,2,2,3,3,1,3,1,1,1,1,5,7,11,2,1,8,1
1997-98,1m,Players,100011,Linda Burgess,Linda,1611661320,LAS,28.0,1,1,0,1.0,0.095,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,1,1,1,1,11,4,4,4,2,2,2,3,3,3,2,2,3,3,3,3,1,1,1,1,5,6,8,2,1,8,1
1997-98,1m,Players,100003,Lisa Leslie,Lisa,1611661320,LAS,25.0,1,1,0,1.0,1.0166666666666666,0,0,0.0,0,0,0.0,1,2,0.5,1,0,1,1,0,0,0,0,0,0,1,-1,3.7,1,0,3.0,1,1,1,1,1,4,4,4,2,2,2,1,1,1,1,2,1,1,3,3,1,1,1,1,4,7,1,1,1,2,1
1997-98,1m,Players,100090,Lynette Woodard,Lynette,1611661315,CLE,38.0,1,0,1,0.0,1.0166666666666666,1,1,1.0,0,0,0.0,0,0,0.0,0,0,0,1,1,0,0,0,0,0,2,1,2.5,0,0,3.0,1,7,7,7,1,1,1,1,2,2,2,3,3,3,2,2,3,1,1,3,1,1,1,1,3,1,6,2,1,2,1
1997-98,1m,Players,100088,Michelle Edwards,Michelle,1611661315,CLE,32.0,1,0,1,0.0,1.0166666666666666,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,1,0,0,1,0,0,1,3.0,0,0,2.0,1,7,7,7,1,4,4,4,2,2,2,3,3,3,2,2,3,3,3,1,1,1,9,1,5,1,2,2,1,5,1
1997-98,1m,Players,100097,Rushia Brown,Rushia,1611661315,CLE,26.0,1,0,1,0.0,1.0166666666666666,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,1,0,0,1,0.0,0,0,0.0,1,7,7,7,1,4,4,4,2,2,2,3,3,3,2,2,3,3,3,3,1,1,9,1,5,1,8,2,1,8,1
1997-98,1m,Players,100008,Tamecka Dixon,Tamecka,1611661320,LAS,22.0,1,1,0,1.0,1.0166666666666666,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,1,0,0,0,0,0,-1,3.0,0,0,2.0,1,1,1,1,1,4,4,4,2,2,2,3,3,3,2,2,3,3,3,1,1,1,1,1,5,7,2,2,1,5,1
1998-99,1m,Players,100031,Bridget Pettis,Bridget,1611661317,PHO,28.0,1,1,0,1.0,1.2333333333333334,0,0,0.0,0,0,0.0,2,2,1.0,0,0,0,1,0,1,0,0,0,0,2,4,6.5,0,0,5.0,1,1,1,1,1,7,7,7,3,3,3,2,2,1,2,1,2,1,6,1,1,1,1,1,6,1,2,3,1,2,1
1998-99,1m,Players,100022,Chantel Tremitiere,Chantel,1611661319,UTA,29.0,1,0,1,0.0,0.57,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,1,0,0,0,0,2,0,0,2,1.5,0,0,1.0,1,11,11,11,19,7,7,7,3,3,3,5,5,5,2,1,2,1,6,4,1,1,22,1,10,6,10,3,1,10,1
1998-99,1m,Players,100073,Cynthia Cooper,Cynthia,1611661316,HOU,36.0,1,1,0,1.0,1.1166666666666667,0,0,0.0,0,0,0.0,4,8,0.5,1,0,1,1,0,0,0,0,0,0,4,2,6.7,0,0,6.0,1,1,1,1,11,7,7,7,3,3,3,1,1,2,1,1,1,1,6,4,1,1,1,1,1,6,1,3,1,1,1
1998-99,1m,Players,100043,Elena Baranova,Elena,1611661319,UTA,27.0,1,0,1,0.0,1.1166666666666667,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,1,0,0,0,0,0,0,-2,-1.0,0,0,0.0,1,11,11,11,11,7,7,7,3,3,3,5,5,5,2,1,2,5,1,4,1,1,1,1,10,13,20,3,1,12,1
1998-99,1m,Players,100091,Eva Nemcova,Eva,1611661315,CLE,26.0,1,0,1,0.0,1.2333333333333334,1,2,0.5,1,2,0.5,0,0,0.0,0,0,0,0,1,0,0,0,0,0,3,-4,2.0,0,0,4.0,1,11,11,11,1,2,1,6,1,1,2,5,5,5,2,1,2,5,1,4,1,1,1,1,3,16,7,3,1,4,1
1998-99,1m,Players,100084,Fran Harris,Fran,1611661319,UTA,34.0,1,0,1,0.0,0.5466666666666666,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,-4,0.0,0,0,0.0,1,11,11,11,22,7,7,7,3,3,3,5,5,5,2,1,2,5,6,4,1,1,1,1,10,16,12,3,1,12,1
1998-99,1m,Players,100087,Janice Braxton,Janice,1611661315,CLE,37.0,1,0,1,0.0,1.2333333333333334,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,1,1,0,0,0,1,0,0,-4,0.5,0,0,1.0,1,11,11,11,1,7,7,7,3,3,3,5,5,5,2,1,2,1,1,4,1,1,17,1,10,16,11,3,1,10,1
1998-99,1m,Players,100030,Jennifer Gillom,Jennifer,1611661317,PHO,35.0,1,1,0,1.0,1.2333333333333334,1,1,1.0,0,0,0.0,1,2,0.5,0,0,0,0,0,1,0,0,0,0,3,4,6.0,0,0,5.0,1,1,1,1,1,2,3,1,3,3,3,3,2,2,2,1,2,5,6,1,1,1,1,1,3,1,3,3,1,2,1
