SEASON_LABEL,CLUTCH_WINDOW,GROUP_SET,PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,E_OFF_RATING,OFF_RATING,sp_work_OFF_RATING,E_DEF_RATING,DEF_RATING,sp_work_DEF_RATING,E_NET_RATING,NET_RATING,sp_work_NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,E_TOV_PCT,EFG_PCT,TS_PCT,USG_PCT,E_USG_PCT,E_PACE,PACE,PACE_PER40,sp_work_PACE,PIE,POSS,FGM,FGA,FGM_PG,FGA_PG,FG_PCT,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,E_OFF_RATING_RANK,OFF_RATING_RANK,sp_work_OFF_RATING_RANK,E_DEF_RATING_RANK,DEF_RATING_RANK,sp_work_DEF_RATING_RANK,E_NET_RATING_RANK,NET_RATING_RANK,sp_work_NET_RATING_RANK,AST_PCT_RANK,AST_TO_RANK,AST_RATIO_RANK,OREB_PCT_RANK,DREB_PCT_RANK,REB_PCT_RANK,TM_TOV_PCT_RANK,E_TOV_PCT_RANK,EFG_PCT_RANK,TS_PCT_RANK,USG_PCT_RANK,E_USG_PCT_RANK,E_PACE_RANK,PACE_RANK,sp_work_PACE_RANK,PIE_RANK,FGM_RANK,FGA_RANK,FGM_PG_RANK,FGA_PG_RANK,FG_PCT_RANK,TEAM_COUNT
2002-03,5m,Players,100363,Adrienne Goodson,Adrienne,1611661319,UTA,36.0,1,0,1,0.0,2.1,0.0,0.0,0.0,200.0,200.0,200.0,-200.0,-200.0,-200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.54,58.54,48.78,58.54,0.0,2,0,0,0.0,0.0,0.0,1,7,7,7,1,7,7,7,7,7,7,7,7,7,2,1,2,1,1,1,1,1,4,4,6,6,2,3,3,4,4,5,4,5,4,1
2002-03,5m,Players,100075,Janeth Arcain,Janeth,1611661316,HOU,34.0,1,1,0,1.0,2.1,200.0,200.0,200.0,0.0,0.0,0.0,200.0,200.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.25,0.25,58.54,58.54,48.78,58.54,0.462,3,1,1,1.0,1.0,1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,4,4,2,3,3,2,1,2,1,2,1,1
2002-03,5m,Players,100382,Jennifer Azzi,Jennifer,1611661319,UTA,34.0,1,0,1,0.0,2.1,0.0,0.0,0.0,200.0,200.0,200.0,-200.0,-200.0,-200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.54,58.54,48.78,58.54,0.0,2,0,0,0.0,0.0,0.0,1,7,7,7,1,7,7,7,7,7,7,7,7,7,2,1,2,1,1,1,1,1,4,4,6,6,2,3,3,4,4,5,4,5,4,1
2002-03,5m,Players,100239,Margo Dydek,Margo,1611661319,UTA,29.0,1,0,1,0.0,2.1,0.0,0.0,0.0,200.0,200.0,200.0,-200.0,-200.0,-200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.54,58.54,48.78,58.54,0.0,2,0,0,0.0,0.0,0.0,1,7,7,7,1,7,7,7,7,7,7,7,7,7,2,1,2,1,1,1,1,1,4,4,6,6,2,3,3,4,4,5,4,5,4,1
2002-03,5m,Players,100685,Marie Ferdinand-Harris,Marie,1611661319,UTA,24.0,1,0,1,0.0,2.1,0.0,0.0,0.0,200.0,200.0,200.0,-200.0,-200.0,-200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,58.54,58.54,48.78,58.54,-0.154,2,0,1,0.0,1.0,0.0,1,7,7,7,1,7,7,7,7,7,7,7,7,7,2,1,2,1,1,1,1,1,4,4,1,1,2,3,3,10,4,2,4,2,4,1
2002-03,5m,Players,100729,Michelle Snow,Michelle,1611661316,HOU,23.0,1,1,0,1.0,0.7,200.0,200.0,200.0,0.0,0.0,0.0,200.0,200.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.73,65.45,54.55,65.45,0.0,1,0,0,0.0,0.0,0.0,1,1,1,1,11,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,4,4,6,6,11,2,2,4,4,5,4,5,4,1
2002-03,5m,Players,100366,Natalie Williams,Natalie,1611661319,UTA,32.0,1,0,1,0.0,2.1,0.0,0.0,0.0,200.0,200.0,200.0,-200.0,-200.0,-200.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.5,0.5,58.54,58.54,48.78,58.54,-0.154,2,0,0,0.0,0.0,0.0,1,7,7,7,1,7,7,7,7,7,7,7,7,7,2,1,2,1,1,1,11,11,4,4,1,1,2,3,3,10,4,5,4,5,4,1
2002-03,5m,Players,100072,Sheryl Swoopes,Sheryl,1611661316,HOU,32.0,1,1,0,1.0,2.1,200.0,200.0,200.0,0.0,0.0,0.0,200.0,200.0,200.0,0.5,0.0,33.3,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,58.54,58.54,48.78,58.54,0.308,3,1,2,1.0,2.0,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,1,1,2,3,3,3,1,1,1,1,3,1
2002-03,5m,Players,100336,Sonja Henning,Sonja,1611661316,HOU,33.0,1,1,0,1.0,2.1,200.0,200.0,200.0,0.0,0.0,0.0,200.0,200.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.54,58.54,48.78,58.54,0.0,3,0,0,0.0,0.0,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,4,4,6,6,2,3,3,4,4,5,4,5,4,1
2002-03,5m,Players,100233,Tiffani Johnson,Tiffani,1611661316,HOU,27.0,1,1,0,1.0,1.3,200.0,200.0,200.0,0.0,0.0,0.0,200.0,200.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.91,72.91,60.76,72.91,0.0,2,0,0,0.0,0.0,0.0,1,1,1,1,10,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,4,4,6,6,1,1,1,4,4,5,4,5,4,1
2002-03,5m,Players,100076,Tina Thompson,Tina,1611661316,HOU,28.0,1,1,0,1.0,2.1,200.0,200.0,200.0,0.0,0.0,0.0,200.0,200.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.25,0.25,58.54,58.54,48.78,58.54,0.538,3,1,1,1.0,1.0,1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,4,4,2,3,3,1,1,2,1,2,1,1
2006-07,5m,Players,100949,Alana Beard,Alana,1611661322,WAS,25.0,1,0,1,0.0,0.6,123.0,100.0,100.0,144.9,100.0,100.0,-22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.667,0.82,196.02,263.87,219.9,263.87,0.222,3,1,2,1.0,2.0,0.5,30,33,14,33,32,27,26,26,30,17,17,32,22,22,11,3,11,2,1,1,1,1,14,19,2,2,2,2,2,12,7,6,2,2,11,1
2006-07,5m,Players,100493,Anna DeForge,Anna,1611661325,IND,31.0,1,0,1,0.0,0.9,0.0,0.0,0.0,250.0,250.0,250.0,-250.0,-250.0,-250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.47,56.47,47.06,56.47,0.0,0,0,0,0.0,0.0,0.0,30,33,14,33,26,42,42,42,45,45,45,46,46,46,11,3,11,2,1,1,1,1,17,24,30,31,44,45,45,26,17,26,17,26,17,1
2006-07,5m,Players,100723,Asjha Jones,Asjha,1611661323,CON,26.0,2,2,0,1.0,1.0,84.0,57.1,57.1,112.6,100.0,100.0,-28.6,-42.9,-42.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.174,115.2,150.26,125.22,150.26,0.091,7,0,1,0.0,0.5,0.0,18,6,1,1,20,39,40,40,19,17,17,36,37,37,11,3,11,2,1,1,1,1,17,24,23,22,17,12,12,22,17,15,17,16,17,1
2006-07,5m,Players,200681,Barbara Turner,Barbara,1611661328,SEA,23.0,2,1,1,0.5,0.2,277.8,200.0,200.0,208.3,150.0,150.0,69.4,50.0,50.0,1.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,159.51,221.54,184.62,221.54,0.125,2,0,0,0.0,0.0,0.0,18,17,14,19,47,2,2,2,43,40,40,13,15,15,1,3,1,2,1,1,1,1,17,24,30,31,8,7,7,18,17,26,17,26,17,1
2006-07,5m,Players,100484,Betty Lennox,Betty,1611661328,SEA,30.0,2,0,2,0.0,2.1,97.6,88.9,88.9,136.6,130.0,130.0,-39.0,-41.1,-41.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.182,0.217,100.07,107.29,89.41,107.29,-0.533,9,0,2,0.0,1.0,0.0,18,33,38,33,7,37,35,35,25,32,32,38,36,36,11,3,11,2,1,1,1,1,17,24,16,17,24,25,25,50,17,6,17,3,17,1
2006-07,5m,Players,100356,Chamique Holdsclaw,Chamique,1611661320,LAS,29.0,1,0,1,0.0,0.3,227.3,100.0,100.0,300.0,300.0,300.0,-72.7,-200.0,-200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,138.24,192.0,160.0,192.0,0.0,1,0,0,0.0,0.0,0.0,30,33,14,33,44,3,26,26,50,50,50,42,43,43,11,3,11,2,1,1,1,1,17,24,30,31,12,10,10,26,17,26,17,26,17,1
2006-07,5m,Players,100843,Cheryl Ford,Cheryl,1611661321,DET,26.0,1,0,1,0.0,1.8,66.7,66.7,66.7,87.2,75.0,75.0,-20.5,-8.3,-8.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.59,94.12,78.43,94.12,0.0,3,0,0,0.0,0.0,0.0,30,33,14,33,13,41,39,39,13,12,12,27,29,29,11,3,11,2,1,1,1,1,17,24,30,31,30,30,30,26,17,26,17,26,17,1
2006-07,5m,Players,100930,Christi Thomas,Christi,1611661320,LAS,24.0,2,1,1,0.5,4.0,101.7,93.3,93.3,147.1,164.3,164.3,-45.3,-71.0,-71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.56,86.37,71.98,86.37,0.04,15,0,0,0.0,0.0,0.0,18,17,14,19,1,35,33,33,38,41,41,41,41,41,11,3,11,2,1,1,1,1,17,24,30,31,28,38,38,25,17,26,17,26,17,1
