SEASON_LABEL,CLUTCH_WINDOW,GROUP_SET,PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK,TEAM_COUNT
2002-03,5m,Players,100363,Adrienne Goodson,Adrienne,1611661319,UTA,36.0,1,0,1,0.0,2.05,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,-6,0.0,0,0,0.0,1,7,7,7,1,4,5,4,1,2,1,1,1,1,2,2,2,2,2,2,1,1,1,1,4,7,4,4,1,4,1
2002-03,5m,Players,100075,Janeth Arcain,Janeth,1611661316,HOU,34.0,1,1,0,1.0,2.05,1,1,1.0,0,0,0.0,0,0,0.0,0,0,0,0,0,1,0,0,0,0,2,6,5.0,0,0,4.0,1,1,1,1,1,1,2,1,1,2,1,1,1,1,2,2,2,2,2,1,1,1,1,1,1,1,1,4,1,1,1
2002-03,5m,Players,100382,Jennifer Azzi,Jennifer,1611661319,UTA,34.0,1,0,1,0.0,2.05,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,-6,0.0,0,0,0.0,1,7,7,7,1,4,5,4,1,2,1,1,1,1,2,2,2,2,2,2,1,1,1,1,4,7,4,4,1,4,1
2002-03,5m,Players,100239,Margo Dydek,Margo,1611661319,UTA,29.0,1,0,1,0.0,2.05,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,-6,0.0,1,0,0.0,1,7,7,7,1,4,5,4,1,2,1,1,1,1,2,2,2,2,2,2,1,1,1,1,4,7,4,1,1,4,1
2002-03,5m,Players,100685,Marie Ferdinand-Harris,Marie,1611661319,UTA,24.0,1,0,1,0.0,2.05,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,-6,0.0,0,0,0.0,1,7,7,7,1,4,2,4,1,1,1,1,1,1,2,2,2,2,2,2,1,1,1,1,4,7,4,4,1,4,1
2002-03,5m,Players,100729,Michelle Snow,Michelle,1611661316,HOU,23.0,1,1,0,1.0,0.7333333333333333,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0,0,0.0,1,1,1,1,11,4,5,4,1,2,1,1,1,1,2,2,2,2,2,2,1,1,1,1,4,6,4,4,1,4,1
2002-03,5m,Players,100366,Natalie Williams,Natalie,1611661319,UTA,32.0,1,0,1,0.0,2.05,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,1,0,0,0,0,0,0,-6,-1.0,1,0,0.0,1,7,7,7,1,4,5,4,1,2,1,1,1,1,2,2,2,2,1,2,1,1,1,1,4,7,11,1,1,4,1
2002-03,5m,Players,100072,Sheryl Swoopes,Sheryl,1611661316,HOU,32.0,1,1,0,1.0,2.05,1,2,0.5,0,0,0.0,0,0,0.0,0,0,0,1,0,0,0,0,0,0,2,6,3.5,0,0,3.0,1,1,1,1,1,1,1,3,1,2,1,1,1,1,2,2,2,1,2,2,1,1,1,1,1,1,3,4,1,3,1
2002-03,5m,Players,100336,Sonja Henning,Sonja,1611661316,HOU,33.0,1,1,0,1.0,2.05,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,6,0.0,0,0,0.0,1,1,1,1,1,4,5,4,1,2,1,1,1,1,2,2,2,2,2,2,1,1,1,1,4,1,4,4,1,4,1
2002-03,5m,Players,100233,Tiffani Johnson,Tiffani,1611661316,HOU,27.0,1,1,0,1.0,1.3166666666666667,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,4,0.0,0,0,0.0,1,1,1,1,10,4,5,4,1,2,1,1,1,1,2,2,2,2,2,2,1,1,1,1,4,5,4,4,1,4,1
2002-03,5m,Players,100076,Tina Thompson,Tina,1611661316,HOU,28.0,1,1,0,1.0,2.05,1,1,1.0,0,0,0.0,0,0,0.0,1,1,2,0,0,0,0,0,0,0,2,6,4.4,1,0,4.0,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,2,1,1,1,1
2006-07,5m,Players,100949,Alana Beard,Alana,1611661322,WAS,25.0,1,0,1,0.0,0.6366666666666667,1,2,0.5,0,1,0.0,0,0,0.0,0,0,0,0,0,1,0,0,1,0,2,-1,5.0,0,0,4.0,30,33,14,33,36,7,6,11,8,3,8,11,11,11,9,12,16,11,5,1,2,1,39,12,14,25,9,3,1,14,1
2006-07,5m,Players,100493,Anna DeForge,Anna,1611661325,IND,31.0,1,0,1,0.0,0.85,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,-5,0.0,0,0,0.0,30,33,14,33,30,17,26,17,8,13,8,11,11,11,9,12,16,11,5,3,2,1,1,12,24,41,31,3,1,31,1
2006-07,5m,Players,100723,Asjha Jones,Asjha,1611661323,CON,26.0,2,2,0,1.0,1.9166666666666667,0,1,0.0,0,0,0.0,0,0,0.0,1,1,2,0,0,0,0,0,0,0,0,-1,2.4,0,0,2.0,18,6,1,1,22,17,15,17,8,13,8,11,11,11,3,3,2,11,5,3,2,1,1,12,24,25,21,3,1,20,1
2006-07,5m,Players,200681,Barbara Turner,Barbara,1611661328,SEA,23.0,2,1,1,0.5,0.43333333333333335,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,1,0,0,0,0,0,0,0,1,1.5,0,0,1.0,18,17,14,19,43,17,26,17,8,13,8,11,11,11,9,12,16,3,5,3,2,1,1,12,24,20,23,3,1,24,1
2006-07,5m,Players,100484,Betty Lennox,Betty,1611661328,SEA,30.0,2,0,2,0.0,4.25,0,2,0.0,0,2,0.0,0,0,0.0,0,0,0,0,0,0,0,0,2,0,0,-5,0.0,0,0,0.0,18,33,38,33,15,17,6,17,8,1,8,11,11,11,9,12,16,11,5,3,2,1,46,12,24,41,31,3,1,31,1
